Serial,Anio,FechaRegistro,Ciudad,Direccion,ValorTasado,MontoVenta,RatioVenta,TipoPropiedad,TipoResidencial,codigoNoUso,observaciones,observacionesOPM,ubicacion,,,,,
40527,2004,09/30/2005,Watertown,197 DAVIS ST,0.00,5000.00,0,,,6,,,,,,,,
40513,2004,09/26/2005,Windham,365 SOUTH ST,0.00,44900.00,0,,,6,,,,,,,,
40501,2004,11/19/2004,Waterbury,2120 N MAIN ST,78470.00,175000.00,0.4484,,,,,,,,,,,
40494,2004,07/01/2005,Farmington,27 MAIN ST,539400.00,825000.00,0.653818182,,,,,,,,,,,
40485,2004,11/16/2004,Bridgeport,117 CORNHILL ST,99890.00,100000.00,0.9989,,,,,,,,,,,
40485,2004,06/20/2005,Newtown,10 WINE SAP RD,107350.00,300000.00,0.357833333,,,,,,,,,,,
40473,2004,01/13/2005,Meriden,SUNSET DR,0.00,82500.00,0,,,7,,,,,,,,
40468,2004,02/16/2005,Westport,2 MARVIN PL,536400.00,900000.00,0.596,,,,,,,,,,,
40457,2004,01/27/2005,Bristol,25 WARD ST,73480.00,140000.00,0.524857143,,,,,,,,,,,
40455,2004,02/04/2005,Greenwich,SOUND BCH AVE,548380.00,1350000.00,0.406207407,,,,,,,,,,,
40423,2004,07/18/2005,Ridgefield,32 BANKS HL PL,454620.00,909500.00,0.499857064,,,,,,,,,,,
40399,2004,05/03/2005,Groton,211 G ST,9520.00,35000.00,0.272,,,21,,,,,,,,
40382,2004,07/22/2005,Darien,4 OAKLAND TER,385490.00,796500.00,0.483979912,,,,,,,,,,,
40374,2004,08/22/2005,Plainfield,297 DOW RD,98190.00,249900.00,0.392917167,,,,,,,,,,,
